budget,genres,movie_id,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title_x,vote_average,vote_count,title_y,cast
120000000,"['Adventure', 'Fantasy', 'Drama', 'Romance']",50620,en,The Twilight Saga: Breaking Dawn - Part 2,99.687084,2012-11-13,829000000,115.0,Released,The epic finale that will live forever,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,The Twilight Saga: Breaking Dawn - Part 2,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Peter Facinelli', 'Elizabeth Reaser', 'Ashley Greene', 'Jackson Rathbone', 'Kellan Lutz', 'Nikki Reed', 'Billy Burke', 'Dakota Fanning', 'Jamie Campbell Bower', 'Maggie Grace', 'Mackenzie Foy', 'Michael Sheen', 'Cameron Bright', 'Chaske Spencer', 'MyAnna Buring', 'Christopher Heyerdahl', 'Julia Jones', 'Booboo Stewart', 'Andrea Powell', 'Christian Camargo', 'Daniel Cudmore', 'Guri Weinberg', 'Lee Pace', 'Rami Malek', 'Casey LaBow', 'Joe Anderson', 'Angela Sarafyan', 'Valorie Curry', 'Noel Fisher', 'Tyson Houseman', 'Lateef Crowder', 'Charlie Bewley', 'Billy Wagenseller', 'Mía Maestro', 'Wendell Pierce', 'Omar Metwally', 'Andrea Gabriel', 'Judi Shekoni', 'Tracey Heggins', 'Patrick Brennan', 'Lisa Howard', 'Marlane Barnes', 'Toni Trucks', 'Erik Odom', 'Amadou Ly', 'Janelle Froehlich', 'Masami Kosaka', 'Alex Rice', 'JD Pardo', 'Marisa Quinn', 'Bill Tangradi', 'Rebecca Barras', 'Abbie Dunn']"
130000000,"['Animation', 'Comedy', 'Family']",65759,en,Happy Feet Two,17.7735,2011-11-17,150406466,100.0,Released,Every step counts.,Happy Feet Two,5.8,373,Happy Feet Two,"['Elijah Wood', 'Robin Williams', 'Pink', 'E.G. Daily', 'Johnny A. Sanchez', 'Lombardo Boyar', 'Sofía Vergara', 'Common', 'Hugo Weaving', 'Brad Pitt', 'Matt Damon', 'Carlos Alazraqui', 'Jeffrey Garcia', 'Ava Acres', 'Benjamin Flores Jr.', 'Meibh Campbell', 'Magda Szubanski', 'Hank Azaria', 'Richard Carter', 'Lee Perry', 'Jai Sloper', 'Oscar Beard', 'Anthony LaPaglia', 'Danny Mann', 'Denise Blasor', 'Roger Narayan']"
150000000,"['Science Fiction', 'Action', 'Adventure']",1724,en,The Incredible Hulk,62.898336,2008-06-12,163712074,114.0,Released,You'll like him when he's angry.,The Incredible Hulk,6.1,3021,The Incredible Hulk,"['Edward Norton', 'Liv Tyler', 'Tim Roth', 'William Hurt', 'Tim Blake Nelson', 'Ty Burrell', 'Christina Cabot', 'Peter Mensah', 'Lou Ferrigno', 'Paul Soles', 'Débora Nascimento', 'Greg Bryk', 'Genelle Williams', 'Chris Owens', 'Al Vrkljan', 'Adrian Hein', 'John MacDonald', 'Shaun McComb', 'Simon Wong', 'Pedro Salvín', 'Julio Cesar Torres Dantas', 'Raimundo Camargo Nascimento', 'Nick Alachiotis', 'Jason Burke', 'Grant Nickalls', 'Joris Jarsky', 'Arnold Pinnock', 'Tig Fong', 'Jason Hunter', 'Maxwell McCabe-Lokos', 'David Collins', 'Chris Ratz', 'John Carvalho', 'Robin Wilcock', 'Wayne Robson', 'Javier Lambert', 'Martin Starr', 'Todd Hofley', 'Joe La Loggia', 'Tamsen McDonough', 'Michael Kenneth Williams', 'Roberto Bakker', 'Ruru Sacha', 'James Downing', 'Rickson Gracie', 'Stephen Gartner', 'Nicholas Rose', 'P.J. Kerr', 'Jee-Yun Lee', 'Desmond Campbell', 'Deshaun Clarke', 'Tony Nappo', 'Aaron Berg', 'David Meunier', 'Tre Smith', 'Moses Nyarko', 'Carlos A. Gonzalez', 'Yan Regis', 'Stephen Broussard', 'Matt Purdy', 'Lenka Matuska', 'Scott Magee', 'Wes Berger', 'Carla Nascimento', 'Krista Vendy', 'Mila Stromboni', 'Robert Downey Jr.', 'Stan Lee']"
140000000,"['Adventure', 'Family', 'Fantasy']",267935,en,The BFG,44.19092,2016-06-01,183345589,120.0,Released,The world is more giant than you can imagine.,The BFG,6.0,1000,The BFG,"['Ruby Barnhill', 'Mark Rylance', 'Rebecca Hall', 'Jemaine Clement', 'Bill Hader', 'Penelope Wilton', 'Marilyn Norry', 'Chris Shields', 'Matt Frewer', 'Geoffrey Wade', 'Rafe Spall', 'Haig Sutherland', 'John Emmet Tracy', 'Adam Godley', 'Daniel Bacon', 'Paul Moniz de Sa', 'Alejandro Cuello', 'Ólafur Darri Ólafsson', 'Michael Adamthwaite', 'Gabrielle Rose', 'Lucia Ryan', 'Julia Torrance', 'Graham Curry']"
135000000,"['Western', 'Drama', 'Adventure', 'Thriller']",281957,en,The Revenant,100.635882,2015-12-25,532950503,156.0,Released,"(n. One who has returned, as if from the dead.)",The Revenant,7.3,6396,The Revenant,"['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter', 'Domhnall Gleeson', 'Paul Anderson', 'Brad Carter', 'Kristoffer Joner', 'Lukas Haas', 'Brendan Fletcher', 'Joshua Burge', 'Robert Moloney', 'Grace Dove', 'Timothy Lyle', 'Kory Grim', 'Forrest Goodluck', 'Duane Howard', 'Arthur RedCloud', 'Vincent Leclerc', 'Emmanuel Bilodeau']"
135000000,"['Animation', 'Family']",77950,en,Turbo,44.765377,2013-07-11,282570682,96.0,Released,SLO NO MO,Turbo,6.1,1074,Turbo,"['Ryan Reynolds', 'Paul Giamatti', 'Michael Peña', 'Samuel L. Jackson', 'Luis Guzmán', 'Bill Hader', 'Snoop Dogg', 'Maya Rudolph', 'Ben Schwartz', 'Richard Jenkins', 'Ken Jeong', 'Michelle Rodriguez']"
135000000,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",44896,en,Rango,29.91353,2011-03-02,245724603,107.0,Released,Heroes come in all different colors.,Rango,6.6,2051,Rango,"['Johnny Depp', 'Isla Fisher', 'Ned Beatty', 'Bill Nighy', 'Alfred Molina', 'Abigail Breslin', 'Claudia Black', 'Timothy Olyphant', 'Ray Winstone', 'Stephen Root', 'Harry Dean Stanton', 'Ian Abercrombie', 'Gil Birmingham', 'James Ward Byrkit', 'Blake Clark', 'Keith Campbell', 'Beth Grant']"
132000000,"['Family', 'Animation', 'Adventure', 'Comedy']",270946,en,Penguins of Madagascar,84.366984,2014-11-22,373552094,92.0,Released,The Movie Event That Will Blow Their Cover,Penguins of Madagascar,6.5,1346,Penguins of Madagascar,"['Tom McGrath', 'Chris Miller', 'Christopher Knights', 'Conrad Vernon', 'John Malkovich', 'Benedict Cumberbatch', 'Ken Jeong', 'Annet Mahendru', 'Peter Stormare', 'Andy Richter', 'Danny Jacobs', 'Werner Herzog', 'Sean Charmatz', 'Billy Eichner', 'Stephen Kearin', 'Ava Acres']"
70000000,"['Action', 'Drama', 'Mystery', 'Thriller']",2503,en,The Bourne Ultimatum,45.381501,2007-08-03,442824138,115.0,Released,Remember everything. Forgive nothing.,The Bourne Ultimatum,7.3,2888,The Bourne Ultimatum,"['Matt Damon', 'Julia Stiles', 'David Strathairn', 'Scott Glenn', 'Paddy Considine', 'Edgar Ramírez', 'Albert Finney', 'Joan Allen', 'Tom Gallop', 'Corey Johnson', 'Daniel Brühl', 'Joey Ansah', 'Colin Stinton', 'Dan Fredenburgh', 'Lucy Liemann', 'Bryan Reents', 'Arkie Reece', 'John Roberson', 'Russ Huards', 'Mark Bazeley', ""Sinead O'Keefe"", 'Chucky Venice', 'Scott Adkins', 'Branko Tomovic', 'Laurentiu Possa', 'Trevor St. John', 'Albert Jones', 'Jeffrey Lee Gibson', 'Uriel Emil Pollack', 'Omar Hernandez', 'William H. Burns', 'Michael Wildman', 'Kai Martin', 'Michael Ahl', 'David Boston', 'Glynis Brooks', 'James Ciccone', 'Sebastian Feldman', 'Luis Mottola', 'Mark Mottram', 'James Schram', 'Brian Smyj', 'Paul Thornton', 'John Warman', 'Chris Wilson', 'Ben Youcef']"
130000000,"['Adventure', 'Animation', 'Family', 'Comedy']",9502,en,Kung Fu Panda,84.689648,2008-06-04,631744560,90.0,Released,Prepare for awesomeness.,Kung Fu Panda,6.9,3145,Kung Fu Panda,"['Jack Black', 'Dustin Hoffman', 'Angelina Jolie', 'Jackie Chan', 'Lucy Liu', 'David Cross', 'Randall Duk Kim', 'James Hong', 'Dan Fogler', 'Ian McShane', 'Seth Rogen', 'Michael Clarke Duncan', 'Wayne Knight', 'Kyle Gass', 'JR Reed', 'Laura Kightlinger', 'Tanya Haden', 'Stephen Kearin', 'Mark Osborne', 'John Stevenson', 'Jeremy Shipp', 'Melissa Cobb', 'Kent Osborne', 'Emily Burns', 'Stephanie Harvey', 'Riley Osborne']"
130000000,"['Science Fiction', 'Action', 'Adventure']",102899,en,Ant-Man,120.09361,2015-07-14,519311965,117.0,Released,Heroes don't get any bigger.,Ant-Man,7.0,5880,Ant-Man,"['Paul Rudd', 'Michael Douglas', 'Evangeline Lilly', 'Corey Stoll', 'Bobby Cannavale', 'Michael Peña', 'T.I.', 'Anthony Mackie', 'Wood Harris', 'Judy Greer', 'Abby Ryder Fortson', 'David Dastmalchian', 'Martin Donovan', 'Hayley Atwell', 'John Slattery', 'Garrett Morris', 'Gregg Turkington', 'Rod Hallett', 'Joe Chrest', 'Joe Bucaro III', 'Jean Louisa Kelly', 'Dax Griffin', 'Hayley Lovitt', 'Norma Alvarez', 'Darcie Isabella Cottrell', 'Teddy Williams', 'Carol Anne Watts', 'Chuck David Willis', 'Diana Chiritescu', 'Neko Parham', 'Onira Tares', 'Kylen Davis', 'Zamani Wilder', 'Jim R. Coleman', 'Desmond Phillips', 'Aaron Saxton', 'Michael A. Cook', 'Ricki Lander', 'Rus Blackwell', 'Johnny Pemberton', 'Nicholas Barrera', 'Carlos Aviles', 'Lyndsi LaRose', 'Robert Crayton', 'Ajani Perkins', 'Jessejames Locorriere', 'Zack Duhame', 'Kevin Lacz', 'Michael Trisler', 'Daniel Stevens', 'Alex Chansky', 'Clay Donahue Fontenot', 'Michael Jamorski', 'Casey Pieretti', 'Antal Kalik', 'Adam Hart', 'Reuben Langdon', 'Todd Schneider', 'Kevin Buttimer', 'Danny Vasquez', 'Anna Akana', 'Stan Lee', 'Tom Kenny', 'Rick Avery', 'Erik Betts']"
130000000,"['Adventure', 'Action', 'Science Fiction']",101299,en,The Hunger Games: Catching Fire,76.310119,2013-11-15,847423452,146.0,Released,Every revolution begins with a spark.,The Hunger Games: Catching Fire,7.4,6495,The Hunger Games: Catching Fire,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Lenny Kravitz', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Stanley Tucci', 'Donald Sutherland', 'Toby Jones', 'Willow Shields', 'Sam Claflin', 'Lynn Cohen', 'Jena Malone', 'Amanda Plummer', 'Jack Quaid', 'Taylor St. Clair', 'Sandra Ellis Lafferty', 'Paula Malcomson', 'Bruce Bundy', 'Nelson Ascencio', 'Afemo Omilami', 'Kimberley Drummond', 'Deena Beasley', 'Leon Lamar', 'Mandy Neuhaus', 'Erika Bierman', 'Wilbur Fitzgerald', 'Patrick St. Esprit', 'Jill Jane Clements', 'James Sutton', 'Alan Ritchson', 'Stephanie Leigh Schlund', 'Meta Golding', 'Megan Hayes', 'Stef Dawson', 'James Logan', 'E. Roger Mitchell', 'Bruno Gunn', 'Maria Howell', 'Judd Lormand', 'Elena Sanchez', 'John Casino', 'Marian Green', 'Daniel Bernhardt', 'Ravi Naidu', 'Franco Castan', 'Sarah Turner Holland', 'Jared Allman', 'Laura Avnaim', 'Noëlle Renée Bercy']"
135000000,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",228161,en,Home,63.473086,2015-03-18,368871007,94.0,Released,Worlds Collide,Home,6.8,1519,Home,"['Jim Parsons', 'Rihanna', 'Steve Martin', 'Jennifer Lopez', 'Matt Jones', 'Brian Stepanek', 'April Lawrence', 'Stephen Kearin', 'Brian Stepanek', 'Lisa Stewart', 'April Winchell']"
132000000,"['Adventure', 'Thriller', 'Science Fiction']",74,en,War of the Worlds,48.572726,2005-06-28,591739379,116.0,Released,They're already here.,War of the Worlds,6.2,2322,War of the Worlds,"['Tom Cruise', 'Dakota Fanning', 'Miranda Otto', 'Justin Chatwin', 'Tim Robbins', 'Camillia Sanes', 'John Scurti', 'Morgan Freeman', 'Takayo Fischer', 'Yul Vazquez', 'Ann Robinson', 'Gene Barry', 'Daniel Eric Gold', 'Channing Tatum', 'Dempsey Pappion', 'Lisa Ann Walter', 'Lenny Venito', 'Rick Gonzalez', 'David Alan Basche', 'Roz Abrams', 'Marlon Young', 'John Eddins', 'Amy Ryan', 'Jim Hanna', 'James DuMont', 'Travis Aaron Wade', 'Columbus Short', 'Tom Kenny', 'Ty Simpkins']"
130000000,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",8961,en,Bad Boys II,38.068736,2003-07-18,273339556,147.0,Released,"If you can't stand the heat, get out of Miami.",Bad Boys II,6.3,1564,Bad Boys II,"['Martin Lawrence', 'Will Smith', 'Jordi Mollà', 'Gabrielle Union', 'Peter Stormare', 'Theresa Randle', 'Joe Pantoliano', 'Michael Shannon', 'Jon Seda', 'Yul Vazquez', 'Jason Manuel Olazabal', 'Otto Sanchez', 'Henry Rollins', 'Antoni Corone', 'Gary Nickens', 'John Salley', 'Oleg Taktarov', 'Michael Bay', 'Ron Madoff', 'Peter Donald Badalamenti II', 'Jay Rasumny']"
130000000,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",417859,en,Puss in Boots,20.678787,2011-10-28,554987477,90.0,Released,Live for danger. Fight for justice. Pray for mercy.,Puss in Boots,6.4,451,Puss in Boots,"['Antonio Banderas', 'Salma Hayek', 'Zach Galifianakis', 'Billy Bob Thornton', 'Amy Sedaris', 'Guillermo del Toro', 'Constance Marie', 'Mike Mitchell', 'Rich Dietl', 'Ryan Crego', 'Tom Wheeler', 'Conrad Vernon', 'Tom McGrath', 'Bob Joles', 'Latifa Ouaou', 'Bob Persichetti', 'Chris Miller', 'Jessica Schulte', 'Nina Barry', 'Sergio Bruna', 'Rebecca Davis', 'Roberto Donati', 'Jossara Jinaro', 'Joshua Rush', 'Julie Wittner']"
110000000,"['Action', 'Mystery', 'Thriller']",27576,en,Salt,48.829437,2010-07-21,293329073,100.0,Released,Who is Salt?,Salt,6.2,2093,Salt,"['Angelina Jolie', 'Liev Schreiber', 'Chiwetel Ejiofor', 'Daniel Olbrychski', 'August Diehl', 'Daniel Pearce', 'Hunt Block', 'Andre Braugher', 'Olek Krupa', 'Cassidy Hinkle', 'Corey Stoll', ""Kevin O'Donnell"", 'Gaius Charles', 'Zoe Lister-Jones', 'Yara Shahidi', 'Victor Slezak', 'Nicole Signore', 'Mardi Jones', 'Nick Poltoranin', 'Michelle Ray Smith', 'James Schram', 'Frosty Lawson', 'Cecilia Foss', 'Gary Wilmes', 'Harry L. Seddon', 'Marion McCorry', 'Victoria Cartagena', 'Hristo Hristov', 'Zach Shaffer', 'Jewel Elizabeth', 'James Cronin', 'Philip Willingham', 'Dionne Audain', 'Angelo Lopez', 'Ivo Velon', 'Xavier Rafael', 'William Henderson White', 'Ethan Ladd', 'Tobias Campbell', 'James Nuciforo', 'Tika Sumpter', 'David Agranov']"
125000000,"['Drama', 'Adventure']",86834,en,Noah,46.115758,2014-03-20,362637473,139.0,Released,The end of the world is just the beginning.,Noah,5.6,2350,Noah,"['Russell Crowe', 'Jennifer Connelly', 'Emma Watson', 'Logan Lerman', 'Anthony Hopkins', 'Ray Winstone', 'Kevin Durand', 'Ariane Rinehart', 'Douglas Booth', 'Marton Csokas', 'Dakota Goyo', 'Barry Sloane', 'Sami Gayle', 'Mark Margolis', 'Nick Nolte', 'Madison Davenport', 'Finn Wittrock', 'Arnoddur Magnus Danks']"
130000000,"['Adventure', 'Animation', 'Mystery']",17578,en,The Adventures of Tintin,89.938296,2011-10-25,371940071,107.0,Released,"This year, discover how far adventure will take you.",The Adventures of Tintin,6.7,2061,The Adventures of Tintin,"['Jamie Bell', 'Andy Serkis', 'Daniel Craig', 'Nick Frost', 'Simon Pegg', 'Cary Elwes', 'Mackenzie Crook', 'Tony Curran', 'Toby Jones', 'Daniel Mays', 'Sebastian Roché', 'Phillip Rhys', 'Mark Ivanir', 'Gad Elmaleh', 'Jacquie Barnbrook', 'Joe Starr']"
130000000,"['Adventure', 'Fantasy', 'Family']",673,en,Harry Potter and the Prisoner of Azkaban,79.679601,2004-05-31,789804554,141.0,Released,Something wicked this way comes.,Harry Potter and the Prisoner of Azkaban,7.7,5877,Harry Potter and the Prisoner of Azkaban,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Gary Oldman', 'David Thewlis', 'Alan Rickman', 'Michael Gambon', 'Robbie Coltrane', 'Tom Felton', 'Emma Thompson', 'Maggie Smith', 'Bonnie Wright', 'James Phelps', 'Oliver Phelps', 'Timothy Spall', 'Matthew Lewis', 'David Bradley', 'Julie Walters', 'Mark Williams', 'Richard Griffiths', 'Fiona Shaw', 'Harry Melling', 'Alfie Enoch', 'Devon Murray', 'Jamie Waylett', 'Josh Herdman', 'Chris Rankin', 'Robert Hardy', 'Pam Ferris', 'Warwick Davis', 'Dawn French', 'Lee Ingleby', 'Jimmy Gardner', 'Lenny Henry', 'Genevieve Gaunt', 'Sitara Shah', 'Danielle Tabor', 'Bronson Webb', 'Jim Tavaré', 'Ekow Quartey', 'Julie Christie', 'Paul Whitehouse', 'Geraldine Somerville', 'Adrian Rawlins', 'Jennifer Smith', 'Peter Best', 'Marianne Chase', 'Samantha Clinch', 'Kandice Morris', 'Lewis Barnshaw', 'Violet Columbus']"
130000000,['Drama'],6972,en,Australia,28.840997,2008-11-18,49554002,165.0,Released,Welcome to Australia!,Australia,6.3,694,Australia,"['Nicole Kidman', 'Hugh Jackman', 'Essie Davis', 'David Wenham', 'Bryan Brown', 'David Gulpilil', 'John Jarratt', 'Shea Adams', 'Nathin Butler', 'John Walton', 'Nigel Harbach', 'Eddie Baroo', 'Arthur Dignam', 'Sandy Gore', 'Bill Hunter', 'Jacek Koman', 'Ben Mendelsohn', 'Barry Otto', 'David Ngoombujarra', 'Bruce Spence', 'Jack Thompson', 'Yuen Wah', 'Kerry Walker', 'Ray Barrett', 'Jamal Sydney Bednarz', 'Tony Barry', 'Ursula Yovich', 'Brandon Walters', 'Matthew Whittet', 'Lillian Crombie', 'Max Cullen', 'Haidee Gaudry', 'Jamie Gulpilil', 'Peter Gwynne', 'Jimmy Hong', 'Angus Pilakui', 'Adam McMonigal', 'Robin Queree', 'Mark Rathbone', 'Crusoe Kurddal', 'Siena Larsson', 'Danielle Carey', 'Anton Monsted', 'William Gabriel', 'Chris Polzot']"
130000000,"['Science Fiction', 'Action', 'Adventure']",82700,en,After Earth,42.840582,2013-05-30,243843127,100.0,Released,"Danger is real, fear is a choice",After Earth,5.0,2532,After Earth,"['Jaden Smith', 'Will Smith', 'Sophie Okonedo', 'Zoë Kravitz', 'Glenn Morshower', 'Chris Geere', 'Diego Klattenhoff', 'David Denman', 'Lincoln Lewis', 'Jaden Martin', 'Sincere L. Bobb', 'Monika Jolly', 'Kristofer Hivju', 'Sacha Dhawan', 'Matthew Andrews', 'Isabelle Fuhrman', 'Darrell Foster', 'Tiffany E. Green', 'Jon Mack']"
127500000,"['Animation', 'Family']",10567,en,Dinosaur,26.548594,2000-05-19,354248063,82.0,Released,You have never seen anything like this.,Dinosaur,6.2,542,Dinosaur,"['D. B. Sweeney', 'Alfre Woodard', 'Ossie Davis', 'Max Casella', 'Hayden Panettiere', 'Samuel E. Wright', 'Julianna Margulies', 'Peter Siragusa', 'Joan Plowright', 'Della Reese']"
127000000,"['Adventure', 'Comedy', 'Fantasy', 'Family']",181533,en,Night at the Museum: Secret of the Tomb,115.597753,2014-12-17,349424282,97.0,Released,One Final Night to Save the Day.,Night at the Museum: Secret of the Tomb,6.1,1851,Night at the Museum: Secret of the Tomb,"['Ben Stiller', 'Rami Malek', 'Rebel Wilson', 'Robin Williams', 'Owen Wilson', 'Dick Van Dyke', 'Rachael Harris', 'Ben Kingsley', 'Ricky Gervais', 'Mickey Rooney', 'Dan Stevens', 'Skyler Gisondo', 'Mizuo Peck', 'Bill Cobbs', 'Brennan Elliott', 'Steve Coogan', 'Patrick Gallagher', 'Andrea Martin', 'Alice Eve', 'Hugh Jackman', 'Crystal the Monkey', 'Anjali Jay', 'Greg LaSalle', 'Brad Garrett', 'Regina Taufen', 'Matt Frewer']"
130000000,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",38055,en,Megamind,68.757242,2010-10-28,321887208,95.0,Released,His brain is off the chain.,Megamind,6.7,1918,Megamind,"['Will Ferrell', 'Brad Pitt', 'Tina Fey', 'Jonah Hill', 'David Cross', 'Ben Stiller', 'Justin Theroux', 'Jessica Schulte', 'Tom McGrath', 'Emily Nordwind', 'J.K. Simmons', 'Ella Olivia Stiller', 'Quinn Dempsey Stiller', 'Brian Hopkins', 'Christopher Knights', 'Mike Mitchell', 'Jasper Johannes Andrews', 'Justin Long', 'Bill Hader', 'Amy Poehler', 'Rob Corddry', 'Jack Blessing', 'Stephen Kearin']"
125000000,"['Adventure', 'Fantasy', 'Family']",671,en,Harry Potter and the Philosopher's Stone,109.984351,2001-11-16,976475550,152.0,Released,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,7.5,7006,Harry Potter and the Philosopher's Stone,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Richard Harris', 'Tom Felton', 'Robbie Coltrane', 'Alan Rickman', 'Maggie Smith', 'Richard Griffiths', 'Ian Hart', 'Fiona Shaw', 'John Hurt', 'David Bradley', 'Matthew Lewis', 'Sean Biggerstaff', 'Warwick Davis', 'Harry Melling', 'James Phelps', 'Oliver Phelps', 'John Cleese', 'Chris Rankin', 'Alfie Enoch', 'Devon Murray', 'Jamie Waylett', 'Josh Herdman', 'Zoë Wanamaker', 'Julie Walters', 'Bonnie Wright', 'Luke Youngblood', 'Verne Troyer', 'Adrian Rawlins', 'Geraldine Somerville', 'Elizabeth Spriggs', 'Nina Young', 'Terence Bayler', 'Leslie Phillips', 'Simon Fisher-Becker', 'Derek Deadman', 'Ray Fearon', 'Eleanor Columbus', 'Ben Borowiecki', 'Danielle Tabor', 'Leilah Sutherland', 'Emily Dale', 'Will Theakston', 'Scot Fearn', 'Saunders Triplets', 'Amy Puglia', 'David Brett', 'Leila Hoffman', 'Hazel Showham', 'Christina Petrou', 'Gemma Sandzer', 'Derek Hough', 'Julianne Hough', 'Zoe Sugg', 'Jimmy Vee', 'Kieri Kennedy']"
130000000,"['Fantasy', 'Action', 'Comedy', 'Crime']",49524,en,R.I.P.D.,39.448066,2013-07-18,61648500,96.0,Released,To protect and serve the living,R.I.P.D.,5.4,1260,R.I.P.D.,"['Jeff Bridges', 'Ryan Reynolds', 'Kevin Bacon', 'Stephanie Szostak', 'Mary-Louise Parker', 'Marisa Miller', 'Robert Knepper', 'James Hong', ""Mike O'Malley"", 'Devin Ratray', 'Kachina Dechert', 'Catherine Kresge', 'Larry Joe Campbell', 'Kortney Adams', 'Michael Coons', 'Christina Everett', 'Michael Tow', 'Lonnie Farmer', 'Piper Mackenzie Harris', 'Ben Sloane', 'Duncan B. Putney', 'Bill Mootos', 'Michael Yebba', 'David J. Curtis', 'Cheryl McMahon', 'Georgia Lyman', 'Matt McColm', 'John Burke', 'Joe Stapleton', 'Michael Steven Costello', 'Chris Whitney', 'Emmalyn Anderson', 'Alexandra Creteau', 'J. Jewels', 'Jim Ford']"
140000000,"['Adventure', 'Fantasy', 'Action']",22,en,Pirates of the Caribbean: The Curse of the Black Pearl,271.972889,2003-07-09,655011224,143.0,Released,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,Pirates of the Caribbean: The Curse of the Black Pearl,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley', 'Jack Davenport', 'Jonathan Pryce', 'Kevin McNally', 'Zoe Saldana', 'Lee Arenberg', 'Mackenzie Crook', ""Damian O'Hare"", 'Treva Etienne', 'Michael Berry Jr.', 'David Bailie', 'Christopher S. Capp', 'Martin Klebba', 'Isaac C. Singleton Jr.', 'Giles New', 'Angus Barnett', 'Greg Ellis', 'Guy Siner', 'Ralph P. Martin', 'Paula J. Newman', 'Paul Keith', 'Dylan Smith', 'Lucinda Dryzek', 'Lauren Maher', 'Vanessa Branch', 'Luke de Woolfson', 'Michael Sean Tighe', 'Dustin Seavey', 'Christian Martin', 'Trevor Goddard', 'Vince Lozano', 'Matthew Bowyer', 'Brye Cooper', 'Ben Wilson', 'Antonio Valentino', 'Mike Babcock', 'Owen Finnegan', 'Ian McIntyre', 'Israel Aduramo', 'Sam Roberts', 'Ben Roberts', 'Félix Castro', 'Mike Haberecht', 'Rudolph McCollum', 'Gerard J. Reyes', 'M. Scott Shields', 'Christopher Sullivan', 'Craig Thomson', 'Fred Toft', 'Jerry Gauny', 'Maxie J. Santillan Jr.', 'Michael Earl Lane', 'David Patykewich', 'Tommy Schooler', 'Finneus Egan', 'D.P. FitzGerald', 'Tobias McKinney', 'Michael A. Thompson', 'Michael W. Williams', 'Jose Zelaya', 'Don LaDaga', 'LeJon', 'Gregory Alosio', 'Jordi Caballero', 'Paul Gagné', 'Joe Grisaffi', 'James McAuley']"
125000000,"['Science Fiction', 'Adventure', 'Thriller']",131631,en,The Hunger Games: Mockingjay - Part 1,206.227151,2014-11-18,752100229,123.0,Released,Fire burns brighter in the darkness,The Hunger Games: Mockingjay - Part 1,6.6,5584,The Hunger Games: Mockingjay - Part 1,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Donald Sutherland', 'Philip Seymour Hoffman', 'Julianne Moore', 'Willow Shields', 'Sam Claflin', 'Elizabeth Banks', 'Mahershala Ali', 'Jena Malone', 'Jeffrey Wright', 'Paula Malcomson', 'Stanley Tucci', 'Natalie Dormer', 'Evan Ross', 'Elden Henson', 'Wes Chatham', 'Sarita Choudhury', 'Stef Dawson', 'Patina Miller', 'Robert Knepper', 'Caitlin Fowler', 'Jada Taylor', 'Nicholas Pryor', 'Donna Biscoe', 'Michael Garza', 'Erika Bierman', 'Bill Bennett', 'Rus Blackwell', 'Stevie Ray Dallimore', 'Breann Couch', 'Jennifer Cocker', 'Marshall Choka', 'Jordan Woods-Robinson', 'Katie Sawhill', 'Jenique Bennett', 'Charles Kronmuller', 'Tyler Lee Allen', 'Jordanne Calvin', 'Jasmine Ahnie', 'Brayden Patterson', 'Emma Elle Roberts', 'A.J. Sexton', 'Sarah Turner Holland', 'Lauren Henneberg', 'Molly Evensen', 'William Frasca', 'Joe Crosson', 'Gregory Fears', 'Kirk Crenshaw', 'Stephen Mackenzie Brown', 'Stephen Vining']"
125000000,"['Thriller', 'Mystery']",591,en,The Da Vinci Code,45.313197,2006-05-17,767820459,149.0,Released,Seek the truth.,The Da Vinci Code,6.5,2704,The Da Vinci Code,"['Tom Hanks', 'Audrey Tautou', 'Ian McKellen', 'Paul Bettany', 'Jean Reno', 'Alfred Molina', 'Jürgen Prochnow', 'Jean-Yves Berteloot', 'Jean-Pierre Marielle', 'Marie-Françoise Audollent', 'Agathe Natanson', 'Tina Maskell', 'Peter Pedrero', 'Seth Gabel', 'Etienne Chicot', 'Mark Roper', 'Andy Robb', ""Dhaffer L'Abidine""]"
